num,API,Molecular Weight( g/mol),XLogP3-AA,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotational bond count,Topological surface area( A^2),Heavy atom count,Complexity,LogS,DOSE,Disintegrant,Dose (mg),Disintegrant,Dose (mg),Super_Disintegrant,Dose (mg),Super_Disintegrant,Dose (mg),Diluent,Dose (mg),Diluent,Dose (mg),Binder,Dose (mg),Binder,Dose (mg),Glidant,Dose (mg),Glidant,Dose (mg),Lubricant,Dose (mg),Lubricant,Dose (mg),Lubricant,Dose (mg),pH_modifier,Dose (mg),pH_modifier,Dose (mg),Solubilizer,Dose (mg),Sweeting_agent,Dose (mg),Sweeting_agent,Dose (mg),Viscosity_increasing,Dose (mg),Preservative,Dose (mg),Weight(mg),"Bulk Density
(g/cc , gm/ml , gm/cm³) (Mean)","Tapped Density
(g/cc , gm/ml , gm/cm³) (Mean)","Carr’s Compressibility Index
(%) (Mean)",Hausner Ratio (Mean),Angle of Repose (°) (Mean),HARDNESS,"HARDNESS      (kg/cm2 , kp , kgF)   (SD)",FRIABILITY(%) (mean),FRIABILITY(%) (SD),THICKNESS (mm) (mean),THICKNESS (mm) (SD),Wetting time (s) (mean),Wetting time (s) (SD),Drug content (%) (mean),Drug content (%) (SD),Water absorption ratio (%) (Mean),Water absorption ratio (%) (SD),Mixing Time(min) (Mean),Mixing Time(min) (SD),DIAMETER(mm) (Mean),DIAMETER(mm) (SD),Tablet porosity (%) (Mean),Tablet porosity (%) (SD),Assay (%) (Mean),Assay (%) (SD),Moisture content (%) (Mean),Moisture content (%) (SD),Dispersion Time (s) (Mean),Dispersion Time (s) (SD),Cumulative Drug Release(%) (Mean),Cumulative Drug Release(%) (SD),DISINTEGRATION_TIME
337,103,1001.1,2.4,4,20,18,304,67,761,-4.6,20,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,158,1,3,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,200,0.8,0.9,15.7,1.2,23.5,3.2,0,0.5,0,2.8,0,99,1.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,1.5,0,0,83
430,107,514.6,6.9,1,4,7,72.9,39,831,-9.2,40,3,4,0,0,0,0,0,0,0,0,0,0,0,0,7,12,1,4,2,77,1,4,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,150,0.6,0.7,18.3,1.2,23.5,3.8,0,0.6,0,4.2,0,58,1.5,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,61,1,0,0,67
332,103,1001.1,2.4,4,20,18,304,67,761,-4.6,20,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,158,1,3,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,200,0.8,0.9,15.8,1.2,26.4,3.2,0,0.7,0,2.7,0,96,1.5,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,57,0.6,0,0,77
431,107,514.6,6.9,1,4,7,72.9,39,831,-9.2,40,3,8,0,0,0,0,0,0,0,0,0,0,0,0,7,8,1,4,2,77,1,4,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,150,0.6,0.7,17.6,1.2,22.9,4.1,0,0.8,0,4.1,0,69,0.8,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,57,1.5,0,0,56
1178,71,129.2,-1.3,3,1,2,91.5,9,132,-1.4,500,0,0,8,98,0,0,0,0,1,29,2,8,0,0,0,0,1,2.5,0,0,1,2.5,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,650,0.5,0.6,11.6,1.1,27.7,3.1,0,0.3,0,0,0,5.9,0.5,99.9,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8
338,103,1001.1,2.4,4,20,18,304,67,761,-4.6,20,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,153,1,3,0,0,0,0,0,0,0,0,1,5,0,0,7,4,0,0,0,0,200,0.7,0.9,15.9,1.2,25.5,3.1,0,0.6,0,2.8,0,93,1.5,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,56,1.2,0,0,73
432,107,514.6,6.9,1,4,7,72.9,39,831,-9.2,40,3,12,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1,4,2,77,1,4,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,150,0.6,0.7,18.8,1.2,23.5,3.9,0,0.8,0,4.3,0,61,1.5,0,0,1.2,0.1,0,0,0,0,0,0,0,0,0,0,51,1,0,0,49
168,109,548.6,1.4,8,10,8,243,37,267,-1.9,5,0,0,0,0,2,20,0,0,1,369,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0.6,0.6,5.5,1.1,27.8,21.7,0.6,0.1,0,2.6,0.1,0,0,96.3,10,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
1173,71,129.2,-1.3,3,1,2,91.5,9,132,-1.4,500,0,0,8,65,0,0,0,0,1,15,2,55,0,0,0,0,1,2.5,0,0,1,2.5,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,650,0.6,0.6,12.6,1.1,27.3,3,0,0.3,0,0,0,7.1,0.2,99.1,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.1
333,103,1001.1,2.4,4,20,18,304,67,761,-4.6,20,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,153,1,3,0,0,0,0,0,0,0,0,1,5,0,0,7,4,0,0,0,0,200,0.8,0.9,16.5,1.2,24.6,3.3,0,0.6,0,2.6,0,88,1.7,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,53,1.2,0,0,67
