num,API,Molecular Weight( g/mol),XLogP3-AA,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotational bond count,Topological surface area( A^2),Heavy atom count,Complexity,LogS,DOSE,Disintegrant,Dose (mg),Disintegrant,Dose (mg),Super_Disintegrant,Dose (mg),Super_Disintegrant,Dose (mg),Diluent,Dose (mg),Diluent,Dose (mg),Binder,Dose (mg),Binder,Dose (mg),Glidant,Dose (mg),Glidant,Dose (mg),Lubricant,Dose (mg),Lubricant,Dose (mg),Lubricant,Dose (mg),pH_modifier,Dose (mg),pH_modifier,Dose (mg),Solubilizer,Dose (mg),Sweeting_agent,Dose (mg),Sweeting_agent,Dose (mg),Viscosity_increasing,Dose (mg),Preservative,Dose (mg),Weight(mg),"Bulk Density
(g/cc , gm/ml , gm/cm³) (Mean)","Tapped Density
(g/cc , gm/ml , gm/cm³) (Mean)","Carr’s Compressibility Index
(%) (Mean)",Hausner Ratio (Mean),Angle of Repose (°) (Mean),HARDNESS,"HARDNESS      (kg/cm2 , kp , kgF)   (SD)",FRIABILITY(%) (mean),FRIABILITY(%) (SD),THICKNESS (mm) (mean),THICKNESS (mm) (SD),Wetting time (s) (mean),Wetting time (s) (SD),Drug content (%) (mean),Drug content (%) (SD),Water absorption ratio (%) (Mean),Water absorption ratio (%) (SD),Mixing Time(min) (Mean),Mixing Time(min) (SD),DIAMETER(mm) (Mean),DIAMETER(mm) (SD),Tablet porosity (%) (Mean),Tablet porosity (%) (SD),Assay (%) (Mean),Assay (%) (SD),Moisture content (%) (Mean),Moisture content (%) (SD),Dispersion Time (s) (Mean),Dispersion Time (s) (SD),Cumulative Drug Release(%) (Mean),Cumulative Drug Release(%) (SD),DISINTEGRATION_TIME
115,40,333.3,2,8,10,6,188,23,288,-3,72.8,0,0,0,0,0,0,0,0,1,37.5,2,33.1,1,3.7,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,1.2,0.1,1.7,0,0,0,14.3,0.5,103.9,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5
116,40,333.3,2,8,10,6,188,23,288,-3,72.8,0,0,0,0,0,0,0,0,1,22.5,2,46.6,1,5.2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,1.2,0,0.8,0,0,0,21.3,2,99.6,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5
117,40,333.3,2,8,10,6,188,23,288,-3,72.8,0,0,0,0,0,0,0,0,1,37.5,2,33.1,1,3.7,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,1.2,0,7.6,0,0,0,11.3,0.5,100,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2
119,40,333.3,2,8,10,6,188,23,288,-3,72.8,0,0,0,0,0,0,0,0,1,37.5,2,33.1,1,3.7,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,1.2,0,27.2,0,0,0,43.5,2.2,98,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7
1106,54,484.5,0.5,2,8,7,141,34,915,-2.1,5,0,0,8,11,0,0,0,0,1,124,2,9,0,0,0,0,1,0.5,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,1.2,1.3,13.4,1.2,19.3,1.2,0.1,0.1,0,3.2,0,58.3,0.4,89.7,0,113.9,0.4,0,0,0,0,0,0,0,0,2.5,0.4,0,0,0,0,23.8
1107,54,484.5,0.5,2,8,7,141,34,915,-2.1,5,0,0,0,0,0,0,4,11,1,124,2,9,0,0,0,0,1,0.5,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,1.2,1.3,10.4,1.1,17.2,1.2,0,0.1,0,3.2,0,46.5,0.4,98,0,111.8,0.4,0,0,0,0,0,0,0,0,2.1,0.1,0,0,0,0,15.3
1108,54,484.5,0.5,2,8,7,141,34,915,-2.1,5,0,0,0,0,2,11,0,0,1,124,2,9,0,0,0,0,1,0.5,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,1.2,1.3,11.3,1.1,18.9,1.2,0,0.1,0,3.2,0,54.5,0.2,96.2,0,113.2,0.8,0,0,0,0,0,0,0,0,2.3,0.4,0,0,0,0,35.8
1111,54,484.5,0.5,2,8,7,141,34,915,-2.1,5,0,0,8,2.5,2,2.5,4,6,1,124,2,9,0,0,0,0,1,0.5,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,1.2,1.4,18.4,1.2,16.7,1.2,0,0.1,0,3.2,0,48.4,0.2,96,0,111.8,0.8,0,0,0,0,0,0,0,0,2.1,0.2,0,0,0,0,15.5
1114,54,484.5,0.5,2,8,7,141,34,915,-2.1,5,0,0,8,5.5,2,5.5,0,0,1,124,2,9,0,0,0,0,1,0.5,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,1.2,1.5,24.3,1.3,16.1,1.2,0.1,0.1,0,3.2,0,54.3,0.3,94.5,0,113.4,0.3,0,0,0,0,0,0,0,0,2.2,0.3,0,0,0,0,21
1115,54,484.5,0.5,2,8,7,141,34,915,-2.1,5,0,0,0,0,2,5.5,4,5.5,1,124,2,9,0,0,0,0,1,0.5,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,1.2,1.5,20.4,1.3,17.6,1.2,0,0.1,0,3.2,0,49.4,0.2,96.5,0,113.1,0.4,0,0,0,0,0,0,0,0,2.4,0.2,0,0,0,0,20.6
1109,54,484.5,0.5,2,8,7,141,34,915,-2.1,5,0,0,8,3.6,2,3.6,4,3.6,1,124,2,9,0,0,0,0,1,0.5,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.8,1.7,1.3,12.1,0.8,18.6,1.3,0.1,0,0,3.2,0,53.5,0.2,95.8,0,113.8,1,0,0,0,0,0,0,0,0,2.4,0.3,0,0,0,0,15.7
1110,54,484.5,0.5,2,8,7,141,34,915,-2.1,5,0,0,8,6,2,2.5,4,2.5,1,124,2,9,0,0,0,0,1,0.5,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,1.2,1.4,15.2,1.2,20.7,1.3,0.1,0.1,0,3.2,0,52.4,0.3,95.3,0,113.8,0.4,0,0,0,0,0,0,0,0,2.2,0.5,0,0,0,0,22.8
1112,54,484.5,0.5,2,8,7,141,34,915,-2.1,5,0,0,8,2.5,2,6,4,2.5,1,124,2,9,0,0,0,0,1,0.5,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,1.2,1.5,18.8,1.2,19.1,1.3,0.1,0.1,0,3.2,0,51.6,0.3,96.1,0,113.4,0.3,0,0,0,0,0,0,0,0,2.7,0.2,0,0,0,0,7.3
1113,54,484.5,0.5,2,8,7,141,34,915,-2.1,5,0,0,8,5.5,0,0,4,5.5,1,124,2,9,0,0,0,0,1,0.5,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,1.2,1.4,20.5,1.3,16.4,1.3,0.1,0.1,0,3.2,0.2,52.7,0.3,94.8,0,113.5,0.6,0,0,0,0,0,0,0,0,2.3,1,0,0,0,0,16.5
1969,5,425.9,1.7,3,8,8,112,29,511,-3.3,2.5,0,0,0,0,0,0,4,8,1,144,2,35.1,0,0,6,8,0,0,0,0,0,0,0,0,9,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,1.5,0,0.2,0,0,0,0.4,0,0,0,40.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
625,6,414.6,2.8,4,3,3,58.3,19,259,-3.9,7.5,0,0,8,8,0,0,4,4,1,169.5,0,0,0,0,0,0,1,3,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,7,5,0,0,0,0,200,0,0,0,0,0,1.5,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
626,6,414.6,2.8,4,3,3,58.3,19,259,-3.9,7.5,0,0,8,12,0,0,4,4,1,165.5,0,0,0,0,0,0,1,3,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,7,5,0,0,0,0,200,0,0,0,0,0,1.5,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
636,6,414.6,2.8,4,3,3,58.3,19,259,-3.9,7.5,0,0,8,8,0,0,0,0,1,173.5,2,2,0,0,0,0,1,2,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,7,5,0,0,0,0,200,0,0,0,0,0,1.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
637,6,414.6,2.8,4,3,3,58.3,19,259,-3.9,7.5,0,0,8,8,0,0,0,0,1,171.5,2,4,0,0,0,0,1,2,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,7,5,0,0,0,0,200,0,0,0,0,0,1.5,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
638,6,414.6,2.8,4,3,3,58.3,19,259,-3.9,7.5,0,0,8,8,0,0,0,0,1,169.5,2,6,0,0,0,0,1,2,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,7,5,0,0,0,0,200,0,0,0,0,0,1.5,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126
640,6,414.6,2.8,4,3,3,58.3,19,259,-3.9,7.5,0,0,8,8,0,0,0,0,1,165.5,2,10,0,0,0,0,1,2,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,7,5,0,0,0,0,200,0,0,0,0,0,1.5,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182
