Molecular Weight( g/mol),XLogP3-AA,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotational bond count,Topological surface area( A^2),Heavy atom count,Complexity,LogS,DOSE,Microcrystalline Cellulose (Avicel),Mannitol,Magnesium Stearate,Talc,Weight(mg),"Bulk Density
(g/cc , gm/ml , gm/cm³) (Mean)","Tapped Density
(g/cc , gm/ml , gm/cm³) (Mean)","Carr’s Compressibility Index
(%) (Mean)",Hausner Ratio (Mean),Angle of Repose (°) (Mean),Sodium croscarmellose,Aspartame,Hydroxypropyl Cellulose (HPC),Gum,Chitosan,Sodium saccharin,Sodium lauryl sulfate(SLS),Sodium stearyl fumarate ,Polyvinylpyrrolidone (Crospovidone),Sodium starch glycolate,polyvinyl acetate,Lactose,Colloidal silicon dioxide (Aerosil),Citric acid,Menthol,B-cyclodextrin,Stevia leaf Powder ,Clove oil ,Starch,sodium bicarbonate (NaHCO3),Plantago ovata,Pharmaburst,parteck,Polyethylene Glycol,Eudragit EPO,Precirol,acesulfame potassium,Polacrilin Potassium,Acryflow-L,Indion,Lubritose,Sucralose,Silicon dioxide,Neotame,Sucrose,Ocimum sanctum seed powder,Agar,Calcium carbonate,Sodium Saccharine ,Prosolv ODT,Cellactose,Quinoline yellow lake,Aerosol,Sodium behenate,dibasic calcium phosphate,Mucilage powder,GNSP,Ludipress,Kaolin,Methyl paraben,Camphor,CPE,DISINTEGRATION_TIME
0.350742368,0.31598513,0.25,0.368421053,0.318181818,0.458111702,0.337837838,0.773166023,0.829344433,0.008512769,0.022647207,0.302033857,0.016666667,0.016666667,0.14187643,0.728915663,0.00177381,0.422022472,0.049274898,0.393432466,0.066666667,0,0,0,0,0,0,0,0.017123288,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33
0.169941346,0.260223048,0.375,0.315789474,0.045454545,0.438164894,0.108108108,0.366795367,0.750260146,0.023535303,0.184952189,0,0.133333333,0.066666667,0.084668192,0.295180723,0.000685714,0.336247191,0.046991427,0.450640231,0.066666667,0,0,0,0,0,0,0,0.01369863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33
0.328481,0.855018587,0.125,0.157894737,0.318181818,0.107712766,0.337837838,0.5,0.296566077,0.000500751,0.057876195,0.389721106,0,0.133333333,0.199084668,0.277108434,0.000678571,0.433662921,0.049635446,0.549153242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.63
0.169941346,0.260223048,0.375,0.315789474,0.045454545,0.438164894,0.108108108,0.366795367,0.750260146,0.023535303,0.179919477,0,0.133333333,0.066666667,0.084668192,0.272891566,0.000666667,0.424179775,0.049515263,0.42275919,0.066666667,0,0,0,0,0,0,0,0.02739726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66
0.169941346,0.260223048,0.375,0.315789474,0.045454545,0.438164894,0.108108108,0.366795367,0.750260146,0.023535303,0.174886764,0,0.133333333,0.066666667,0.084668192,0.296987952,0.000678571,0.300966292,0.046190209,0.425030979,0.066666667,0,0,0,0,0,0,0,0.04109589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66
0.159933409,0.473977695,0.25,0.105263158,0.227272727,0.18018617,0.162162162,0.251930502,0.82830385,0.008512769,0.084927026,0.243575691,0.05,0,0.14187643,0.156626506,0.000345238,0.23505618,0.0448682,0.615448162,0,0.026785714,0,0,0,0,0,0,0.061643836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7
0.606748098,0.641263941,0.625,0.684210526,0.318181818,0.587765957,0.581081081,1,0.621227888,0.198798197,0.174886764,0.066983315,0.166666667,0.166666667,0.256292906,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136986301,0,0,0,0.277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0,1,0,0,0,7.9
0.470469812,1,0.125,0.210526316,0.545454545,0.317154255,0.445945946,0.756756757,0.108220604,0.00891337,0.232536487,0,0.0532,0,0.107553776,0,0,0,0,0,0,0.057,0,0,0,0,0,0,0.032876712,0,0,0,0,0,0,0,0,0,0,0.071133333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0.190876711,0.176579926,0.25,0.315789474,0.136363636,0.231715426,0.189189189,0.390926641,0.657648283,0.399098648,0.028032209,0,0.107166667,0,0.266012586,0.246987952,0.00055,0.471910112,0.044467591,0.852746799,0,0,0,0,0,0,0,0,0,0,0,0,0.071666667,0,0.1,0,0,0,0.056462902,0,0.858333333,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0.221403821,0.55204461,0.375,0.315789474,0.409090909,0.361702128,0.175675676,0.224903475,0.715920916,0.298948423,0.359838953,0,0.066666667,0.033333333,0.313501144,0.271084337,0.000678571,0.473033708,0.050476725,0.504750103,0.016666667,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0.136713835,0.511152416,0.125,0.105263158,0.181818182,0.098071809,0.135135135,0.162162162,0.777315297,0.098647972,0.075490689,0,0.133333333,0.166666667,0.14187643,0.295180723,0.000714286,0.514382022,0.049274898,0.714787278,0,0,0,0,0,0.6,0,0,0,0,0,0.137174211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
0.113426508,0.29739777,0.5,0.157894737,0.227272727,0.231050532,0.108108108,0.109073359,0.850156087,0.008112168,0.088072471,0,0.033333333,0,0.084668192,0.34939759,0.000892857,0.509213483,0.051678551,0.681536555,0.055555556,0,0,0,0,0,0,0,0,0,0,0.179012346,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.02
0.328481,0.855018587,0.125,0.157894737,0.318181818,0.107712766,0.337837838,0.5,0.296566077,0.000500751,0.030196276,0.416514432,0,0.133333333,0.199084668,0.289156627,0.000690476,0.387438202,0.048393558,0.567327551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3
0.606748098,0.641263941,0.625,0.684210526,0.318181818,0.587765957,0.581081081,1,0.621227888,0.198798197,0.187468546,0.066983315,0.166666667,0.166666667,0.256292906,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0.277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0,1,0,0,0,8.3
